20201106_133457 0101 HK2 :0002011b t89.4 0 VM-127.0 RM 53.5 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133457 0102 HK2 :0002011b t89.9 0 VM-127.0 RM 53.5 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133458 0103 HK2 :0002011b t90.4 0 VM-127.0 RM 53.5 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133459 0201 HK2 :False
20201106_133500 0202 HK2 :0002021b t92.2 0 VM-127.0 RM 50.4 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133500 0203 HK2 :0002021b t92.6 0 VM-127.0 RM 50.4 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133501 0301 HK2 :0002031b t93.7 0 VM-127.0 RM 54.6 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133502 0302 HK2 :0002031b t94.2 0 VM-127.0 RM 54.6 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133503 0303 HK2 :0002031b t95.2 0 VM-127.0 RM 54.6 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133504 0401 HK2 :0002041b t96.3 0 VM-127.0 RM 43.1 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133504 0402 HK2 :0002041b t96.7 0 VM-127.0 RM 43.1 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133505 0403 HK2 :0002041b t97.1 0 VM-127.0 RM 43.1 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133505 0501 HK2 :0002051b t97.6 0 VM-127.0 RM 53.8 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133506 0502 HK2 :0002051b t98.1 0 VM-127.0 RM 53.8 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133506 0503 HK2 :0002051b t98.5 0 VM-127.0 RM 53.8 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133507 0601 HK2 :0002061b t99.7 0 VM-127.0 RM 46.3 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133508 0602 HK2 :0002061b t100.1 0 VM-127.0 RM 46.3 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133508 0603 HK2 :0002061b t100.6 0 VM-127.0 RM 46.3 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133509 0701 HK2 :0002071b t101.0 0 VM-127.0 RM 45.3 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133509 0702 HK2 :0002071b t101.5 0 VM-127.0 RM 45.3 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133510 0703 HK2 :False
20201106_133511 0801 HK2 :0002081b t103.1 0 VM-127.0 RM 41.1 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133512 0802 HK2 :0002081b t103.6 0 VM-127.0 RM 41.1 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133512 0803 HK2 :0002081b t104.8 0 VM-127.0 RM 41.1 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
20201106_133513 0901 HK2 :0002091b t105.3 0 VM-127.0 RM 44.6 VE 70.0 RE 40.0 RS  0.0 P107 E0000 FX41 M43 A1
