20201002_092754 0E01 HK2 :00020E1b t156.0 0 VM-127.0 RM 41.4 VE 70.0 RE 41.4 RS  0.0 P107 E0000 FX41 M43 A1
20201002_092758 0E02 HK2 :00020E2b t159.1 0 VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201002_092759 0E03 HK2 :00020E3b t167.8 0 VM-127.0 RM 43.8 VE 70.0 RE 44.0 RS  0.0 P107 E0000 FX20 M0 A0
20201002_092807 0F01 HK2 :False
20201002_092814 0F02 HK2 :False
20201002_092822 0F03 HK2 :False
20201002_092822 1001 HK2 :0002101b t172.6 0 VM-127.0 RM 39.1 VE 70.0 RE 39.3 RS  0.0 P107 E0000 FX41 M43 A1
20201002_092823 1002 HK2 :0002102b t173.2 0 VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201002_092826 1003 HK2 :False
20201002_092826 1101 HK2 :0002111b t181.6 0 VM-127.0 RM 42.9 VE 70.0 RE 43.1 RS  0.0 P107 E0000 FX41 M43 A1
20201002_092829 1102 HK2 :0002112b t184.7 0 VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201002_092835 1103 HK2 :0002113b t187.9 0 VM-127.0 RM 39.4 VE 70.0 RE 39.6 RS  0.0 P107 E0000 FX41 M43 A1
20201002_092838 1201 HK2 :0002121b t184.2 0 VM-127.0 RM 32.1 VE 70.0 RE 32.2 RS  0.0 P107 E0000 FX41 M43 A1
20201002_092842 1202 HK2 :0002122b t184.8 0 VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201002_092850 1203 HK2 :0002123b t187.9 0 VM-127.0 RM 41.9 VE 70.0 RE 42.1 RS  0.0 P107 E0000 FX41 M43 A1
20201002_092853 1E01 HK2 :00021E1b t221.5 0 VM 21.4 RM 21.9 VE 70.0 RE 21.9 RS  0.0 P000 E0001 FX44 M40 A0
20201002_092858 1E02 HK2 :False
20201002_092859 1E03 HK2 :00021E3b t227.4 0 VM-127.0 RM-127.0 VE 70.0 RE 40.0 RS  0.0 P000 E0001 FX44 M40 A0
20200928_132642 0401 HK2 :False
20200928_132649 0402 HK2 :False
20200928_132657 0403 HK2 :False
20200928_133053 0201 HK2 :False
20200928_133057 0202 HK2 :False
20200928_133105 0203 HK2 :False
20200928_141515 0301 HK2 :False
20200928_141523 0302 HK2 :False
20200928_141530 0303 HK2 :False
20200928_005603 0101 HK2 :0002011b t1507.0 W VM-127.0 RM 46.7 VE 70.0 RE 47.0 RS 44.0 P000 E0006 FX20 M48 A1
