20201110_080740 0101 HK2 :0002011b t56703.8 W VM-127.0 RM 32.0 VE 46.0 RE 32.0 RS 34.4 P036 E0006 FX20 M1 A0
20201110_080743 0102 HK2 :0002012b t56705.9 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080743 0103 HK2 :0002013b t56706.7 W VM-127.0 RM 33.4 VE 46.0 RE 33.4 RS 34.4 P045 E0000 FX20 M1 A0
20201110_080745 0201 HK2 :0002021b t56700.6 W VM-127.0 RM 51.8 VE 46.0 RE 51.5 RS 43.5 P233 E0006 FX20 M58 A1
20201110_080748 0202 HK2 :0002022b t56703.1 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080749 0203 HK2 :0002023b t56704.8 W VM-127.0 RM 44.9 VE 46.0 RE 45.1 RS 43.5 P163 E0000 FX20 M49 A1
20201110_080749 0301 HK2 :0002031b t56686.2 W VM-127.0 RM 54.3 VE 46.0 RE 54.8 RS 43.5 P000 E0004 FX21 M74 A9
20201110_080750 0302 HK2 :0002032b t56687.0 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_080751 0303 HK2 :0002033b t56688.3 W VM-127.0 RM 35.3 VE 46.0 RE 35.4 RS 43.5 P999 E0000 FX22 M65 A7
20201110_080753 0401 HK2 :0002041b t56682.1 W VM-127.0 RM 49.1 VE 46.0 RE 49.2 RS 43.5 P173 E0006 FX20 M51 A1
20201110_080755 0402 HK2 :0002042b t56682.1 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080756 0403 HK2 :0002043b t56684.3 W VM-127.0 RM 33.4 VE 46.0 RE 32.6 RS 43.5 P289 E0000 FX20 M53 A1
20201110_080756 0501 HK2 :0002051b t56695.9 W VM-127.0 RM 50.1 VE 46.0 RE 50.5 RS 43.5 P105 E0006 FX20 M58 A1
20201110_080758 0502 HK2 :0002052b t56698.2 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_080759 0503 HK2 :0002053b t56698.8 W VM-127.0 RM 50.9 VE 46.0 RE 51.3 RS 43.5 P133 E0000 FX20 M55 A1
20201110_080800 0601 HK2 :0002061b t56783.6 W VM-127.0 RM 38.1 VE 46.0 RE 38.1 RS 43.5 P133 E0000 FX20 M67 A1
20201110_080801 0602 HK2 :0002062b t56784.5 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080803 0603 HK2 :0002063b t56786.2 W VM-127.0 RM 53.6 VE 46.0 RE 53.9 RS 43.5 P296 E0000 FX20 M55 A1
20201110_080804 0701 HK2 :0002071b t56684.8 W VM-127.0 RM 37.6 VE 46.0 RE 35.1 RS 43.5 P307 E0004 FX20 M67 A1
20201110_080805 0702 HK2 :0002072b t56686.5 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080806 0703 HK2 :0002073b t56687.3 W VM-127.0 RM 53.1 VE 46.0 RE 52.9 RS 43.5 P305 E0000 FX20 M56 A1
20201110_080807 0801 HK2 :0002081b t56692.7 W VM-127.0 RM 25.8 VE 46.0 RE 24.6 RS 43.5 P374 E0000 FX20 M73 A1
