20201112_185733 0401 HK2 :0002041b t467446.5 S VM 20.1 RM 21.4 VE 21.4 RE 22.2 RS  0.0 P378 E0004 FX20 M124 A54
20201112_185734 0402 HK2 :0002042b t467447.2 W VM  0.0 RM  0.0 VE  0.0 RE  0.0 RS  0.0 P000 E0004 FX21 M0 A0
20201112_185734 0403 HK2 :0002043b t467447.7 W VM  0.0 RM  0.0 VE  0.0 RE  0.0 RS  0.0 P000 E0004 FX21 M0 A0
