20201116_095716 0C03 HK2 :00020C3b t567039.8 S VM-127.0 RM 43.9 VE-127.0 RE 46.6 RS 44.0 P811 E0004 FX20 M176 A11
20201116_095717 1E01 HK2 :00021E1b t581337.2 W VM 57.5 RM 48.4 VE 70.0 RE 48.5 RS 45.7 P000 E0005 FX44 M8924687400 A0
20201116_095718 1E02 HK2 :00021E2b t581338.4 W VM-127.0 RM-127.0 VE 70.0 RE 40.0 RS  0.0 P999 E0005 FX44 M737 A0
20201116_095719 1E03 HK2 :00021E3b t581339.9 S VM-127.0 RM-127.0 VE 70.0 RE 40.0 RS  0.0 P999 E0005 FX44 M244 A0
20201116_100036 0101 HK2 :0002011b t508581.6 S VM-127.0 RM 46.8 VE-127.0 RE 47.2 RS 44.0 P761 E0006 FX20 M340 A0
20201116_100037 0102 HK2 :0002012b t508582.5 S VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E0005 FX44 M695 A0
20201116_100038 0103 HK2 :0002013b t508583.2 S VM-127.0 RM 45.8 VE-127.0 RE 50.1 RS 44.0 P466 E0004 FX20 M124 A0
20201116_100039 0201 HK2 :0002021b t582368.8 S VM-127.0 RM 48.4 VE-127.0 RE 48.4 RS 44.0 P623 E0006 FX20 M70867512 A88
20201116_100040 0202 HK2 :0002022b t582369.7 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P999 E0006 FX22 M0 A0
20201116_100040 0203 HK2 :0002023b t582370.7 S VM-127.0 RM 47.4 VE-127.0 RE 45.6 RS 44.0 P384 E0006 FX20 M85900304 A69
20201116_100041 0301 HK2 :0002031b t582550.3 S VM-127.0 RM 47.0 VE-127.0 RE 47.8 RS 44.0 P562 E0004 FX20 M73015024 A92
20201116_100042 0302 HK2 :0002032b t582551.4 S VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E0007 FX44 M720 A0
20201116_100043 0303 HK2 :0002033b t582551.9 S VM-127.0 RM 44.3 VE-127.0 RE 50.4 RS 44.0 P547 E0006 FX20 M96637792 A81
20201116_100045 0401 HK2 :0002041b t581668.5 S VM-127.0 RM 47.3 VE-127.0 RE 49.6 RS 44.0 P579 E0006 FX20 M75162440 A93
20201116_100047 0402 HK2 :0002042b t581670.0 S VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E000D FX44 M703 A0
20201116_100050 0403 HK2 :0002043b t581672.7 S VM-127.0 RM 51.2 VE-127.0 RE 50.2 RS 44.0 P787 E0004 FX20 M92342896 A83
20201116_100052 0501 HK2 :0002051b t581560.7 S VM-127.0 RM 47.8 VE-127.0 RE 47.6 RS 44.0 P590 E0006 FX20 M70867520 A93
20201116_100053 0502 HK2 :0002052b t581563.2 S VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E0007 FX44 M705 A0
20201116_100055 0503 HK2 :0002053b t581565.0 S VM-127.0 RM 48.1 VE-127.0 RE 50.5 RS 44.0 P575 E0004 FX20 M88047696 A82
20201116_100056 0601 HK2 :0002061b t581559.3 S VM-127.0 RM 50.0 VE-127.0 RE 47.4 RS 44.0 P294 E0006 FX20 M70867552 A104
20201116_100058 0602 HK2 :0002062b t581561.1 S VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E0005 FX44 M700 A0
20201116_100101 0603 HK2 :0002063b t581564.1 S VM-127.0 RM 41.0 VE-127.0 RE 47.6 RS 44.0 P107 E0004 FX20 M64425364 A47
20201116_100102 0701 HK2 :0002071b t6184.2 S VM-127.0 RM 46.1 VE-127.0 RE 40.0 RS  0.0 P167 E0000 FX20 M131 A5
20201116_100104 0702 HK2 :0002072b t6185.6 W VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E0001 FX44 M86 A0
20201116_100104 0703 HK2 :0002073b t6186.2 W VM-127.0 RM 47.0 VE-127.0 RE 40.0 RS  0.0 P268 E0000 FX20 M171 A6
20201116_100106 0801 HK2 :0002081b t581582.1 W VM-127.0 RM 48.3 VE 70.0 RE 48.3 RS 45.7 P999 E0006 FX22 M5020846100 A4854
20201116_100106 0802 HK2 :0002082b t581582.5 W VM-127.0 RM-127.0 VE 70.0 RE 40.0 RS  0.0 P999 E0005 FX44 M688 A0
20201116_100107 0803 HK2 :0002083b t581583.7 W VM-127.0 RM 50.8 VE 70.0 RE 51.1 RS 45.7 P999 E0004 FX22 M4930658300 A4708
20201116_100108 0901 HK2 :0002091b t567133.9 S VM-127.0 RM 47.1 VE-127.0 RE 47.9 RS 44.0 P622 E0006 FX20 M543 A4
20201116_100109 0902 HK2 :0002092b t567134.9 S VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E0005 FX44 M704 A0
20201116_100110 0903 HK2 :0002093b t567136.4 S VM-127.0 RM 46.1 VE-127.0 RE 42.1 RS 44.0 P696 E0004 FX20 M224 A0
