"module:";1;;;2;;;3;;;4;;;5;;;6;;;7;;;8;;;9;;;10;;;11;;;12;;;13;;;14;;;15;;;16;;;17;;;18;;;30;;;
"mod/reg:";1/1;1/2;1/3;2/1;2/2;2/3;3/1;3/2;3/3;4/1;4/2;4/3;5/1;5/2;5/3;6/1;6/2;6/3;7/1;7/2;7/3;8/1;8/2;8/3;9/1;9/2;9/3;10/1;10/2;10/3;11/1;11/2;11/3;12/1;12/2;12/3;13/1;13/2;13/3;14/1;14/2;14/3;15/1;15/2;15/3;16/1;16/2;16/3;17/1;17/2;17/3;18/1;18/2;18/3;30/1;30/2;30/3;
active;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
motIMin;5.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0;5.0;5.0;6.0;5.0;5.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;
motIMax;70.0;70.0;70.0;70.0;70.0;70.0;70.0;71.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;71.0;70.0;70.0;71.0;70.0;70.0;71.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;
tMotDelay;80.0;80.0;80.0;80.0;80.0;80.0;80.0;81.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;81.0;80.0;80.0;81.0;80.0;80.0;81.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;
tMotMin;100.0;100.0;100.0;100.0;100.0;100.0;100.0;101.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;101.0;100.0;100.0;101.0;100.0;100.0;101.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
tMotMax;40.0;40.0;40.0;40.0;40.0;40.0;40.0;41.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;41.0;40.0;40.0;41.0;40.0;40.0;41.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;
dtOpen;28.0;28.0;28.0;28.0;28.0;28.0;28.0;29.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;29.0;28.0;28.0;29.0;28.0;28.0;29.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;
dtClose;34.0;34.0;34.0;34.0;34.0;34.0;34.0;35.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;35.0;34.0;34.0;35.0;34.0;34.0;35.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;
dtOffset;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3001.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3001.0;3000.0;3000.0;3001.0;3000.0;3000.0;3001.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;
dtOpenBit;3000.0;3000.0;3000.0;3000.0;500.0;500.0;3000.0;3001.0;500.0;3000.0;500.0;500.0;3000.0;500.0;500.0;3000.0;3001.0;500.0;3000.0;3001.0;500.0;3000.0;3001.0;3000.0;3000.0;500.0;500.0;3000.0;500.0;500.0;500.0;3000.0;500.0;500.0;500.0;500.0;3000.0;500.0;500.0;3000.0;500.0;500.0;3000.0;500.0;500.0;500.0;3000.0;500.0;3000.0;3000.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;
tMotTotal;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;
nMotLimit;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
pFakt;0.02;0.1;0.1;0.02;0.1;0.1;0.02;0.02;0.1;0.02;0.1;0.1;0.02;0.1;0.1;0.02;0.02;0.1;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.1;0.1;0.02;0.1;0.1;0.1;0.02;0.1;0.1;0.1;0.1;0.02;0.1;0.1;0.02;0.1;0.1;0.02;0.1;0.1;0.1;0.02;0.1;0.02;0.02;0.1;0.1;0.1;0.1;0.1;0.1;0.1;
iFakt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
dFakt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
tauTempVl;1.0;1.0;1.0;1.0;1.0;1.0;1.0;300.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;300.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
tauTempRl;1.0;1.0;1.0;1.0;1.0;1.0;1.0;180.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;180.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
tauM;1.0;1.0;1.0;1.0;1.0;1.0;1.0;120.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;120.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
m2hi;50.0;50.0;50.0;50.0;50.0;50.0;50.0;40.1;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;40.1;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;
m2lo;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-40.1;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-40.1;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;
tMotPause;600.0;600.0;600.0;600.0;600.0;600.0;600.0;601.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;601.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;
tMotBoost;900.0;900.0;900.0;900.0;900.0;900.0;900.0;901.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;901.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;
dtMotBoost;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2001.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2001.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;
dtMotBoostBack;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2001.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2001.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;
tempTol;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.1;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.1;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;
